,tick,lat,lng,trip_no,mercato_x,mercato_y
67,1561947197.0,50.97429,6.96817,0,775693.1361609651,6616747.180829752
68,1561947208.0,50.97431,6.96852,0,775732.0979827427,6616750.716640015
69,1561947219.0,50.97438,6.96915,0,775802.2292619424,6616763.091987923
70,1561947230.0,50.97453,6.97089,0,775995.9251759227,6616789.610653401
71,1561947241.0,50.97483,6.973,0,776230.8093014966,6616842.648241321
72,1561947252.0,50.9749,6.97346,0,776282.0162672616,6616855.0237278035
73,1561947263.0,50.97505,6.97416,0,776359.9399108168,6616881.542690225
74,1561947274.0,50.97508,6.97428,0,776373.298249712,6616886.846492986
75,1561947285.0,50.97525,6.97416,0,776359.9399108168,6616916.901440031
76,1561947296.0,50.97648,6.97326,0,776259.7523691028,6617134.36109955
77,1561947307.0,50.97682,6.973,0,776230.8093014966,6617194.472915905
78,1561947318.0,50.97729,6.97261,0,776187.3947000873,6617277.5693867905
79,1561947329.0,50.97837,6.97159,0,776073.8488194781,6617468.517655763
80,1561947340.0,50.97976,6.97029,0,775929.1334814469,6617714.281686725
81,1561946760.0,50.9327,6.95594,1,774331.6987885634,6609397.754792604
82,1561946770.0,50.93259,6.95554,1,774287.170992246,6609378.325258698
83,1561946780.0,50.93235,6.95501,1,774228.1716621256,6609335.933707866
84,1561946790.0,50.93207,6.95453,1,774174.738306545,6609286.477175041
85,1561946800.0,50.93171,6.95388,1,774102.3806375292,6609222.890641757
86,1561946810.0,50.93111,6.95268,1,773968.7972485773,6609116.914179994
87,1561946820.0,50.93101,6.95241,1,773938.7409860631,6609099.251569281
88,1561946830.0,50.93091,6.95199,1,773891.98679993,6609081.58899654
89,1561946840.0,50.93071,6.95067,1,773745.0450720828,6609046.263964984
90,1561946850.0,50.93051,6.94953,1,773618.1408525784,6609010.939085322
91,1561946860.0,50.93039,6.94859,1,773513.5005312328,6608989.744230439
92,1561946870.0,50.93029,6.94751,1,773393.2754811761,6608972.08189314
93,1561946880.0,50.93017,6.94642,1,773271.9372362114,6608950.887138498
94,1561946890.0,50.93003,6.94567,1,773188.4476181164,6608926.159993867
95,1561946900.0,50.92987,6.94504,1,773118.3163389167,6608897.900491135
96,1561946910.0,50.92967,6.94431,1,773037.0531106376,6608862.576249419
97,1561946920.0,50.92963,6.94394,1,772995.864899044,6608855.511419302
98,1561946930.0,50.92965,6.94367,1,772965.8086365298,6608859.043833601
99,1561946940.0,50.92972,6.94289,1,772878.9794337112,6608871.407295607
100,1561946950.0,50.92969,6.9426,1,772846.6967813811,6608866.108666757
101,1561946960.0,50.92962,6.94237,1,772821.0932984987,6608853.745212724
102,1561946970.0,50.92943,6.94198,1,772777.6786970892,6608820.187359849
103,1561946980.0,50.92938,6.94188,1,772766.54674801,6608811.35636872
104,1561946990.0,50.92935,6.94187,1,772765.433553102,6608806.057778599
105,1561947000.0,50.92931,6.94182,1,772759.8675785623,6608798.992997085
106,1561947010.0,50.92912,6.9415,1,772724.2453415084,6608765.435367861
107,1561947020.0,50.92904,6.94108,1,772677.4911553754,6608751.305880778
108,1561947030.0,50.92885,6.93972,1,772526.0966478966,6608717.748446342
109,1561947040.0,50.92883,6.93966,1,772519.417478449,6608714.216092796
110,1561947050.0,50.92885,6.93957,1,772509.3987242774,6608717.748446342
111,1561947060.0,50.92883,6.93948,1,772499.379970106,6608714.216092796
112,1561947070.0,50.92877,6.93854,1,772394.7396487604,6608703.619041273
113,1561947080.0,50.92866,6.93762,1,772292.3257172306,6608684.191148981
114,1561947090.0,50.92857,6.93691,1,772213.2888787674,6608668.295634915
115,1561947100.0,50.92855,6.93655,1,772173.2138620818,6608664.763302631
116,1561947110.0,50.92855,6.93645,1,772162.0819130024,6608664.763302631
117,1561947120.0,50.92859,6.93632,1,772147.6103791994,6608671.827968716
118,1561947130.0,50.92835,6.93598,1,772109.7617523295,6608629.440063337
119,1561947140.0,50.92807,6.93553,1,772059.6679814727,6608579.987783473
120,1561947150.0,50.92791,6.93521,1,772024.0457444187,6608551.729471487
121,1561947160.0,50.92778,6.93492,1,771991.7630920887,6608528.769664572
122,1561947170.0,50.92769,6.93474,1,771971.7255837459,6608512.874451214
123,1561947180.0,50.92747,6.93407,1,771897.1415249145,6608474.019614701
