tick,merged_mrx,merged_mry,merged_lat,merged_lng
"1561946916,""['775304.7323376337', '773012.3401836815', '774578.6796321367', '774019.3970171197', '776682.2893505854']"",""['6615319.320520823', '6608858.337351348', '6612545.710635354', '6612342.743718109', '6615633.223861112']"",""['50.966212727272726', '50.929646000000005', '50.95051866666667', '50.94937', '50.96798857142857']"",""['6.964680909090909', '6.944088', '6.958158666666667', '6.953134545454545', '6.977055714285714']"""
"1561946917,""['775306.7563283753', '773008.2213625221', '774577.0469462718', '774009.5806620225', '776680.6990721455']"",""['6615334.264766392', '6608857.630868337', '6612543.119031875', '6612337.442839297', '6615638.274340039']"",""['50.966297272727275', '50.929642', '50.950504', '50.94934', '50.96801714285714']"",""['6.964699090909091', '6.944051', '6.958144', '6.953046363636363', '6.977041428571429']"""
"1561946918,""['775308.780319117', '773004.1025413628', '774575.4142604069', '773999.7643069252', '776679.1087937056']"",""['6615349.209011963', '6608856.924385325', '6612540.527428396', '6612332.141960484', '6615643.324818965']"",""['50.966381818181816', '50.929638000000004', '50.95048933333333', '50.949310000000004', '50.968045714285715']"",""['6.964717272727273', '6.944013999999999', '6.958129333333333', '6.952958181818182', '6.977027142857143']"""
"1561946919,""['775310.8043098587', '772999.9837202034', '774573.7815745418', '773989.947951828', '776677.5185152657']"",""['6615364.153257532', '6608856.217902314', '6612537.935824918', '6612326.841081671', '6615648.375297891']"",""['50.966466363636364', '50.929634', '50.950474666666665', '50.94928', '50.96807428571428']"",""['6.964735454545455', '6.943976999999999', '6.958114666666667', '6.95287', '6.977012857142857']"""
"1561946920,""['775312.8283006004', '772995.864899044', '774572.1488886769', '773977.3992092295', '776675.9282368257']"",""['6615379.097503101', '6608855.511419302', '6612535.344221438', '6612319.612671213', '6615653.425776817']"",""['50.96655090909091', '50.92963', '50.95046', '50.949239090909096', '50.96810285714285']"",""['6.964753636363636', '6.94394', '6.9581', '6.952757272727273', '6.976998571428571']"""
"1561946921,""['775314.8522913421', '772992.8592727926', '774572.1488886769', '773964.850466631', '776674.3379583858']"",""['6615394.041748672', '6608855.8646607315', '6612535.344221438', '6612312.384260755', '6615658.476255744']"",""['50.966635454545454', '50.929632000000005', '50.95046', '50.94919818181818', '50.968131428571425']"",""['6.964771818181818', '6.943912999999999', '6.9581', '6.952644545454545', '6.976984285714286']"""
"1561946922,""['775316.8762820838', '772989.8536465412', '774572.1488886769', '773952.3017240325', '776672.7476799459']"",""['6615408.985994241', '6608856.217902162', '6612535.344221438', '6612305.155850298', '6615663.52673467']"",""['50.96672', '50.929634', '50.95046', '50.94915727272728', '50.96816']"",""['6.96479', '6.943886', '6.9581', '6.952531818181818', '6.97697']"""
"1561946923,""['775316.7750825468', '772986.8480202898', '774572.1488886769', '773939.752981434', '776665.4323991224']"",""['6615409.46807166', '6608856.571143592', '6612535.344221438', '6612297.92743984', '6615680.951053897']"",""['50.96672272727273', '50.929636', '50.95046', '50.949116363636364', '50.96825857142857']"",""['6.964789090909091', '6.943859', '6.9581', '6.952419090909091', '6.976904285714285']"""
"1561946924,""['775316.6738830096', '772983.8423940383', '774572.1488886769', '773927.2042388355', '776658.1171182988']"",""['6615409.95014908', '6608856.924385021', '6612535.344221438', '6612290.699029381', '6615698.375373123']"",""['50.966725454545454', '50.929638000000004', '50.95046', '50.94907545454546', '50.968357142857144']"",""['6.964788181818181', '6.943832', '6.9581', '6.952306363636364', '6.976838571428571']"""
"1561946925,""['775316.5726834725', '772980.8367677869', '774572.1488886769', '773914.6554962369', '776650.8018374753']"",""['6615410.432226499', '6608857.277626451', '6612535.344221438', '6612283.470618923', '6615715.79969235']"",""['50.96672818181818', '50.929640000000006', '50.95046', '50.949034545454545', '50.96845571428572']"",""['6.964787272727273', '6.943804999999999', '6.9581', '6.952193636363636', '6.976772857142857']"""
"1561946926,""['775316.4714839355', '772977.8311415355', '774572.1488886769', '773902.1067536384', '776643.4865566517']"",""['6615410.914303918', '6608857.630867882', '6612535.344221438', '6612276.242208465', '6615733.224011577']"",""['50.96673090909091', '50.929642', '50.95046', '50.94899363636364', '50.96855428571428']"",""['6.964786363636364', '6.943778', '6.9581', '6.952080909090909', '6.976707142857143']"""
"1561946927,""['775316.3702843984', '772974.8255152841', '774572.1488886769', '773889.5580110399', '776636.1712758282']"",""['6615411.396381337', '6608857.984109311', '6612535.344221438', '6612269.013798007', '6615750.648330804']"",""['50.966733636363635', '50.929644', '50.95046', '50.948952727272726', '50.96865285714286']"",""['6.964785454545455', '6.943751', '6.9581', '6.951968181818182', '6.976641428571429']"""
"1561946928,""['775316.2690848613', '772971.8198890326', '774572.1488886769', '773877.0092684414', '776628.8559950045']"",""['6615411.878458757', '6608858.337350741', '6612535.344221438', '6612261.78538755', '6615768.07265003']"",""['50.966736363636365', '50.929646000000005', '50.95046', '50.94891181818182', '50.96875142857143']"",""['6.964784545454545', '6.943724', '6.9581', '6.951855454545455', '6.9765757142857145']"""
"1561946929,""['775316.1678853242', '772968.8142627813', '774572.1488886769', '773864.4605258428', '776621.540714181']"",""['6615412.360536176', '6608858.690592172', '6612535.344221438', '6612254.556977091', '6615785.4969692575']"",""['50.96673909090909', '50.929648', '50.95046', '50.94887090909091', '50.96885']"",""['6.964783636363636', '6.943697', '6.9581', '6.951742727272727', '6.97651']"""
"1561946930,""['775316.0666857872', '772965.8086365298', '774572.1488886769', '773851.9117832443', '776620.1094635851']"",""['6615412.842613596', '6608859.043833601', '6612535.344221438', '6612247.328566633', '6615788.779840987']"",""['50.966741818181816', '50.92965', '50.95046', '50.94883', '50.96886857142857']"",""['6.964782727272727', '6.94367', '6.9581', '6.95163', '6.976497142857143']"""
"1561946931,""['775315.9654862501', '772957.125716248', '774572.1488886769', '773839.2618411088', '776618.6782129892']"",""['6615413.324691014', '6608860.280179802', '6612535.344221438', '6612239.939597161', '6615792.062712717']"",""['50.966744545454546', '50.929657000000006', '50.95046', '50.94878818181818', '50.96888714285715']"",""['6.964781818181819', '6.943592', '6.9581', '6.9515163636363635', '6.976484285714286']"""
"1561946932,""['775315.864286713', '772948.442795966', '774572.1488886769', '773826.6118989731', '776617.2469623933']"",""['6615413.806768434', '6608861.516526002', '6612535.344221438', '6612232.550627689', '6615795.345584447']"",""['50.96674727272727', '50.929664', '50.95046', '50.94874636363637', '50.96890571428572']"",""['6.964780909090909', '6.943514', '6.9581', '6.951402727272727', '6.976471428571429']"""
"1561946933,""['775315.7630871759', '772939.7598756843', '774572.1488886769', '773813.9619568376', '776615.8157117974']"",""['6615414.288845853', '6608862.752872203', '6612535.344221438', '6612225.161658216', '6615798.628456175']"",""['50.96675', '50.929671', '50.95046', '50.94870454545455', '50.96892428571429']"",""['6.96478', '6.943436', '6.9581', '6.951289090909091', '6.976458571428571']"""
"1561946934,""['775315.2570894905', '772931.0769554024', '774572.1488886769', '773801.312014702', '776614.3844612015']"",""['6615415.8957728315', '6608863.989218404', '6612535.344221438', '6612217.772688745', '6615801.911327905']"",""['50.966759090909086', '50.929678', '50.95046', '50.948662727272726', '50.968942857142856']"",""['6.964775454545455', '6.943358', '6.9581', '6.951175454545455', '6.976445714285714']"""
"1561946935,""['775314.751091805', '772922.3940351205', '774572.1488886769', '773788.6620725663', '776612.9532106057']"",""['6615417.50269981', '6608865.225564605', '6612535.344221438', '6612210.383719272', '6615805.194199635']"",""['50.96676818181818', '50.929685000000006', '50.95046', '50.948620909090906', '50.96896142857143']"",""['6.964770909090909', '6.94328', '6.9581', '6.9510618181818185', '6.976432857142857']"""
"1561946936,""['775314.2450941197', '772913.7111148386', '774572.1488886769', '773776.0121304308', '776611.5219600097']"",""['6615419.109626789', '6608866.461910805', '6612535.344221438', '6612202.9947498', '6615808.477071364']"",""['50.96677727272727', '50.929692', '50.95046', '50.94857909090909', '50.96898']"",""['6.964766363636364', '6.943202', '6.9581', '6.950948181818181', '6.97642']"""
"1561946937,""['775313.7390964342', '772905.0281945567', '774572.1488886769', '773763.3621882951', '776615.1796004215']"",""['6615420.716553767', '6608867.698257005', '6612535.344221438', '6612195.605780328', '6615810.2447753325']"",""['50.96678636363636', '50.929699', '50.95046', '50.94853727272727', '50.968990000000005']"",""['6.9647618181818185', '6.943124', '6.9581', '6.950834545454545', '6.976452857142857']"""
"1561946938,""['775313.2330987488', '772896.3452742749', '774572.1488886769', '773750.7122461596', '776618.8372408332']"",""['6615422.323480746', '6608868.934603206', '6612535.344221438', '6612188.216810856', '6615812.012479301']"",""['50.966795454545455', '50.929706', '50.95046', '50.94849545454545', '50.969']"",""['6.964757272727273', '6.943046', '6.9581', '6.950720909090909', '6.976485714285714']"""
"1561946939,""['775312.7271010634', '772887.662353993', '774572.1488886769', '773738.062304024', '776622.494881245']"",""['6615423.930407723', '6608870.170949407', '6612535.344221438', '6612180.827841383', '6615813.780183269']"",""['50.96680454545454', '50.92971300000001', '50.95046', '50.94845363636363', '50.969010000000004']"",""['6.964752727272727', '6.9429680000000005', '6.9581', '6.9506072727272725', '6.976518571428572']"""
"1561946940,""['775312.221103378', '772878.9794337112', '774572.1488886769', '773725.4123618883', '776626.1525216568']"",""['6615425.537334702', '6608871.407295607', '6612535.344221438', '6612173.438871912', '6615815.547887237']"",""['50.96681363636364', '50.92972', '50.95046', '50.94841181818182', '50.96902']"",""['6.964748181818182', '6.94289', '6.9581', '6.950493636363636', '6.976551428571429']"""
"1561946941,""['775311.7151056925', '772875.7511684782', '774572.1488886769', '773712.7624197528', '776629.8101620686']"",""['6615427.144261681', '6608870.877432722', '6612535.344221438', '6612166.049902439', '6615817.315591205']"",""['50.96682272727273', '50.929717000000004', '50.95046', '50.94837', '50.969030000000004']"",""['6.964743636363637', '6.942861000000001', '6.9581', '6.95038', '6.976584285714286']"""
"1561946942,""['775311.2091080071', '772872.5229032452', '774572.1488886769', '773696.1656956709', '776633.4678024803']"",""['6615428.751188659', '6608870.347569837', '6612535.344221438', '6612155.769718725', '6615819.083295173']"",""['50.96683181818182', '50.929714000000004', '50.95046', '50.948311818181814', '50.96904']"",""['6.964739090909092', '6.942832', '6.9581', '6.950230909090909', '6.976617142857143']"""
"1561946943,""['775310.7031103217', '772869.2946380122', '774572.1488886769', '773679.568971589', '776637.1254428921']"",""['6615430.358115638', '6608869.817706952', '6612535.344221438', '6612145.48953501', '6615820.850999141']"",""['50.96684090909091', '50.929711000000005', '50.95046', '50.94825363636363', '50.96905']"",""['6.9647345454545455', '6.942803', '6.9581', '6.950081818181818', '6.97665']"""
"1561946944,""['775310.1971126363', '772866.0663727792', '774572.1488886769', '773662.9722475071', '776644.2816958716']"",""['6615431.965042616', '6608869.287844067', '6612535.344221438', '6612135.209351297', '6615823.881354999']"",""['50.96685', '50.929708000000005', '50.95046', '50.948195454545456', '50.96906714285714']"",""['6.96473', '6.942774', '6.9581', '6.949932727272727', '6.976714285714286']"""
"1561946945,""['775311.1079084701', '772862.8381075461', '774572.1488886769', '773646.3755234252', '776651.4379488513']"",""['6615451.248436194', '6608868.757981182', '6612535.344221438', '6612124.929167583', '6615826.9117108565']"",""['50.96695909090909', '50.929705', '50.95046', '50.94813727272727', '50.96908428571429']"",""['6.964738181818182', '6.942745', '6.9581', '6.9497836363636365', '6.9767785714285715']"""
"1561946946,""['775312.0187043038', '772859.6098423131', '774572.1488886769', '773629.7787993433', '776658.5942018308']"",""['6615470.531829771', '6608868.228118297', '6612535.344221438', '6612114.648983869', '6615829.942066714']"",""['50.967068181818185', '50.929702', '50.95046', '50.94807909090909', '50.96910142857143']"",""['6.964746363636364', '6.942716', '6.9581', '6.949634545454545', '6.976842857142858']"""
"1561946947,""['775312.9295001376', '772856.3815770801', '774572.1488886769', '773613.1820752613', '776665.7504548103']"",""['6615489.815223348', '6608867.698255412', '6612535.344221438', '6612104.368800154', '6615832.972422573']"",""['50.96717727272727', '50.929699', '50.95046', '50.94802090909091', '50.969118571428574']"",""['6.964754545454546', '6.942686999999999', '6.9581', '6.949485454545455', '6.976907142857143']"""
"1561946948,""['775313.8402959714', '772853.1533118471', '774572.1488886769', '773596.5853511794', '776672.9067077899']"",""['6615509.098616926', '6608867.168392527', '6612535.344221438', '6612094.08861644', '6615836.0027784305']"",""['50.96728636363636', '50.929696', '50.95046', '50.947962727272724', '50.96913571428571']"",""['6.964762727272728', '6.942658', '6.9581', '6.949336363636363', '6.976971428571429']"""
"1561946949,""['775314.751091805', '772849.9250466141', '774572.1488886769', '773579.9886270975', '776680.0629607695']"",""['6615528.382010504', '6608866.6385296425', '6612535.344221438', '6612083.808432726', '6615839.033134288']"",""['50.96739545454545', '50.929693', '50.95046', '50.94790454545454', '50.96915285714286']"",""['6.964770909090909', '6.942629', '6.9581', '6.949187272727273', '6.977035714285714']"""
"1561946950,""['775315.6618876389', '772846.6967813811', '774572.1488886769', '773563.3919030156', '776687.219213749']"",""['6615547.66540408', '6608866.108666757', '6612535.344221438', '6612073.528249012', '6615842.063490146']"",""['50.967504545454545', '50.92969', '50.95046', '50.947846363636366', '50.96917']"",""['6.964779090909091', '6.9426', '6.9581', '6.949038181818182', '6.9771']"""
"1561946951,""['775316.5726834725', '772844.1364330929', '774572.1488886769', '773546.7951789337', '776701.8497753962']"",""['6615566.948797658', '6608864.872321354', '6612535.344221438', '6612063.2480652975', '6615846.861569597']"",""['50.96761363636364', '50.929683', '50.95046', '50.94778818181818', '50.96919714285714']"",""['6.964787272727272', '6.942577', '6.9581', '6.948889090909091', '6.977231428571429']"""
"1561946952,""['775317.4834793063', '772841.5760848046', '774572.1488886769', '773530.1984548518', '776716.4803370433']"",""['6615586.232191236', '6608863.63597595', '6612535.344221438', '6612052.967881584', '6615851.65964905']"",""['50.96772272727273', '50.929676', '50.95046', '50.94773', '50.96922428571428']"",""['6.964795454545454', '6.9425539999999994', '6.9581', '6.94874', '6.977362857142857']"""
"1561946953,""['775318.3942751401', '772839.0157365164', '774572.1488886769', '773511.0717423428', '776731.1108986904']"",""['6615605.515584813', '6608862.3996305475', '6612535.344221438', '6612040.599723137', '6615856.457728501']"",""['50.967831818181814', '50.929669000000004', '50.95046', '50.94766', '50.969251428571425']"",""['6.964803636363636', '6.942531', '6.9581', '6.948568181818182', '6.977494285714286']"""
"1561946954,""['775319.3050709738', '772836.4553882282', '774572.1488886769', '773491.9450298337', '776745.7414603374']"",""['6615624.79897839', '6608861.163285144', '6612535.344221438', '6612028.231564689', '6615861.255807954']"",""['50.967940909090906', '50.929662', '50.95046', '50.94759', '50.969278571428575']"",""['6.9648118181818175', '6.942508', '6.9581', '6.9483963636363635', '6.977625714285714']"""
"1561946955,""['775320.2158668076', '772833.8950399399', '774572.1488886769', '773472.8183173247', '776760.3720219845']"",""['6615644.082371968', '6608859.926939741', '6612535.344221438', '6612015.863406243', '6615866.053887405']"",""['50.96805', '50.929655', '50.95046', '50.94752', '50.96930571428572']"",""['6.96482', '6.942485', '6.9581', '6.948224545454545', '6.9777571428571425']"""
"1561946956,""['775321.4302612527', '772831.3346916516', '774572.1488886769', '773453.6916048157', '776775.0025836317']"",""['6615666.258890455', '6608858.690594338', '6612535.344221438', '6612003.495247796', '6615870.851966858']"",""['50.96817545454545', '50.929648', '50.95046', '50.947449999999996', '50.96933285714286']"",""['6.964830909090908', '6.942462', '6.9581', '6.948052727272727', '6.977888571428571']"""
"1561946957,""['775322.6446556976', '772828.7743433634', '774572.1488886769', '773434.5648923067', '776789.6331452788']"",""['6615688.435408941', '6608857.454248934', '6612535.344221438', '6611991.127089349', '6615875.650046309']"",""['50.96830090909091', '50.929641000000004', '50.95046', '50.947379999999995', '50.96936']"",""['6.964841818181818', '6.942439', '6.9581', '6.947880909090909', '6.97802']"""
"1561946958,""['775323.8590501427', '772826.2139950752', '774572.1488886769', '773415.4381797976', '776800.4470386702']"",""['6615710.611927427', '6608856.217903531', '6612535.344221438', '6611978.758930902', '6615879.438017636']"",""['50.96842636363636', '50.929634', '50.95046', '50.94731', '50.96938142857143']"",""['6.964852727272727', '6.942416000000001', '6.9581', '6.9477090909090915', '6.978117142857143']"""
"1561946959,""['775325.0734445878', '772823.6536467869', '774572.1488886769', '773396.3114672886', '776811.2609320615']"",""['6615732.788445913', '6608854.981558127', '6612535.344221438', '6611966.390772454', '6615883.225988963']"",""['50.968551818181815', '50.929626999999996', '50.95046', '50.94724', '50.96940285714286']"",""['6.964863636363636', '6.942393', '6.9581', '6.947537272727273', '6.9782142857142855']"""
"1561946960,""['775326.2878390327', '772821.0932984987', '774572.1488886769', '773377.1847547796', '776822.0748254529']"",""['6615754.9649644', '6608853.745212724', '6612535.344221438', '6611954.022614008', '6615887.013960289']"",""['50.96867727272727', '50.92962', '50.95046', '50.94717', '50.96942428571429']"",""['6.9648745454545455', '6.94237', '6.9581', '6.947365454545455', '6.978311428571429']"""
"1561946961,""['775327.5022334778', '772816.7518383577', '774572.1488886769', '773358.0580422706', '776832.8887188442']"",""['6615777.141482886', '6608850.3894274365', '6612535.344221438', '6611941.654455561', '6615890.801931616']"",""['50.96880272727273', '50.929601', '50.95046', '50.9471', '50.96944571428571']"",""['6.964885454545454', '6.942331', '6.9581', '6.947193636363637', '6.978408571428571']"""
"1561946962,""['775328.7166279227', '772812.4103782168', '774572.1488886769', '773338.9313297615', '776843.7026122356']"",""['6615799.318001373', '6608847.0336421495', '6612535.344221438', '6611929.286297114', '6615894.589902942']"",""['50.968928181818185', '50.929582', '50.95046', '50.94703', '50.96946714285714']"",""['6.964896363636364', '6.942292', '6.9581', '6.947021818181819', '6.978505714285714']"""
"1561946963,""['775329.9310223678', '772808.0689180759', '774572.1488886769', '773319.8046172526', '776854.5165056268']"",""['6615821.494519859', '6608843.677856862', '6612535.344221438', '6611916.918138667', '6615898.377874269']"",""['50.96905363636364', '50.929563', '50.95046', '50.94696', '50.96948857142857']"",""['6.964907272727273', '6.942253', '6.9581', '6.94685', '6.978602857142857']"""
"1561946964,""['775331.1454168129', '772803.7274579349', '774572.1488886769', '773308.5714686362', '776865.3303990182']"",""['6615843.671038345', '6608840.322071575', '6612535.344221438', '6611909.690088971', '6615902.165845595']"",""['50.969179090909094', '50.929544', '50.95046', '50.94691909090909', '50.96951']"",""['6.964918181818182', '6.942214', '6.9581', '6.946749090909091', '6.9787']"""
"1561946965,""['775332.3598112578', '772799.3859977939', '774572.1488886769', '773297.3383200197', '776867.7158166781']"",""['6615865.847556831', '6608836.966286287', '6612535.344221438', '6611902.462039275', '6615902.923441328']"",""['50.96930454545455', '50.929525', '50.95046', '50.94687818181818', '50.96951428571428']"",""['6.9649290909090915', '6.942175000000001', '6.9581', '6.946648181818182', '6.978721428571428']"""
"1561946966,""['775333.5742057029', '772795.044537653', '774572.1488886769', '773286.1051714033', '776870.101234338']"",""['6615888.024075318', '6608833.610500999', '6612535.344221438', '6611895.233989579', '6615903.681037062']"",""['50.96943', '50.929506', '50.95046', '50.94683727272727', '50.96951857142857']"",""['6.96494', '6.9421360000000005', '6.9581', '6.946547272727273', '6.978742857142858']"""
"1561946967,""['775334.0802033882', '772790.7030775121', '774572.1488886769', '773274.8720227869', '776872.4866519979']"",""['6615891.8809284', '6608830.254715712', '6612535.344221438', '6611888.005939883', '6615904.438632795']"",""['50.969451818181824', '50.929487', '50.95046', '50.946796363636366', '50.969522857142856']"",""['6.9649445454545456', '6.942097', '6.9581', '6.946446363636364', '6.978764285714286']"""
"1561946968,""['775334.5862010737', '772786.3616173711', '774572.1488886769', '773263.6388741705', '776874.8720696577']"",""['6615895.737781482', '6608826.898930424', '6612535.344221438', '6611880.777890187', '6615905.196228527']"",""['50.96947363636364', '50.929468', '50.95046', '50.94675545454545', '50.969527142857146']"",""['6.964949090909092', '6.942058', '6.9581', '6.946345454545455', '6.978785714285714']"""
"1561946969,""['775335.0921987591', '772782.0201572301', '774572.1488886769', '773252.405725554', '776877.2574873175']"",""['6615899.594634563', '6608823.543145137', '6612535.344221438', '6611873.549840491', '6615905.95382426']"",""['50.96949545454546', '50.929449000000005', '50.95046', '50.94671454545455', '50.96953142857143']"",""['6.964953636363637', '6.942019', '6.9581', '6.946244545454546', '6.978807142857143']"""
"1561946970,""['775335.5981964446', '772777.6786970892', '774572.1488886769', '773241.1725769376', '776879.6429049774']"",""['6615903.451487645', '6608820.187359849', '6612535.344221438', '6611866.321790795', '6615906.711419994']"",""['50.96951727272727', '50.92943', '50.95046', '50.946673636363634', '50.96953571428572']"",""['6.964958181818182', '6.94198', '6.9581', '6.946143636363637', '6.978828571428572']"""
"1561946971,""['775336.1041941299', '772776.5655021813', '774572.1488886769', '773229.9394283212', '776882.0283226373']"",""['6615907.308340726', '6608819.304260736', '6612535.344221438', '6611859.093741099', '6615907.469015727']"",""['50.969539090909095', '50.929425', '50.95046', '50.94663272727273', '50.96954']"",""['6.964962727272727', '6.94197', '6.9581', '6.946042727272728', '6.97885']"""
"1561946972,""['775336.6101918154', '772775.4523072734', '774572.1488886769', '773218.7062797048', '776899.9984690082']"",""['6615911.165193808', '6608818.421161623', '6612535.344221438', '6611851.865691403', '6615917.317804788']"",""['50.96956090909091', '50.92942', '50.95046', '50.94659181818182', '50.96959571428572']"",""['6.964967272727273', '6.94196', '6.9581', '6.945941818181818', '6.979011428571429']"""
"1561946973,""['775337.1161895008', '772774.3391123654', '774572.1488886769', '773207.4731310883', '776917.9686153792']"",""['6615915.02204689', '6608817.53806251', '6612535.344221438', '6611844.637641707', '6615927.166593849']"",""['50.96958272727273', '50.929415000000006', '50.95046', '50.94655090909091', '50.96965142857143']"",""['6.9649718181818185', '6.94195', '6.9581', '6.945840909090909', '6.979172857142857']"""
"1561946974,""['775337.6221871863', '772773.2259174575', '774572.1488886769', '773196.2399824719', '776935.9387617501']"",""['6615918.878899972', '6608816.654963397', '6612535.344221438', '6611837.409592011', '6615937.01538291']"",""['50.969604545454544', '50.929410000000004', '50.95046', '50.94651', '50.969707142857146']"",""['6.964976363636364', '6.94194', '6.9581', '6.94574', '6.979334285714286']"""
"1561946975,""['775338.1281848716', '772772.1127225496', '774572.1488886769', '773184.7032352443', '776953.9089081209']"",""['6615922.735753053', '6608815.771864284', '6612535.344221438', '6611829.2178869415', '6615946.864171972']"",""['50.969626363636365', '50.929405', '50.95046', '50.94646363636364', '50.969762857142854']"",""['6.964980909090909', '6.94193', '6.9581', '6.945636363636363', '6.979495714285715']"""
"1561946976,""['775338.6341825571', '772770.9995276417', '774572.1488886769', '773173.1664880166', '776971.8790544919']"",""['6615926.592606135', '6608814.888765171', '6612535.344221438', '6611821.026181871', '6615956.712961033']"",""['50.96964818181818', '50.9294', '50.95046', '50.946417272727274', '50.96981857142857']"",""['6.964985454545455', '6.9419200000000005', '6.9581', '6.945532727272727', '6.9796571428571434']"""
"1561946977,""['775339.1401802425', '772769.8863327338', '774572.1488886769', '773161.629740789', '776989.8492008628']"",""['6615930.449459217', '6608814.0056660585', '6612535.344221438', '6611812.834476802', '6615966.5617500935']"",""['50.96967', '50.929395', '50.95046', '50.94637090909091', '50.96987428571428']"",""['6.96499', '6.94191', '6.9581', '6.945429090909091', '6.979818571428572']"""
"1561946978,""['775339.4437788537', '772768.7731378258', '774572.1488886769', '773150.0929935613', '777007.8193472337']"",""['6615936.716887979', '6608813.122566946', '6612535.344221438', '6611804.642771731', '6615976.410539155']"",""['50.969705454545455', '50.929390000000005', '50.95046', '50.946324545454544', '50.96993']"",""['6.964992727272728', '6.9419', '6.9581', '6.945325454545454', '6.97998']"""
"1561946979,""['775339.747377465', '772767.6599429179', '774572.1488886769', '773138.5562463336', '777012.7492103975']"",""['6615942.98431674', '6608812.239467832', '6612535.344221438', '6611796.451066662', '6615976.663073295']"",""['50.96974090909091', '50.929385', '50.95046', '50.94627818181818', '50.96993142857143']"",""['6.964995454545455', '6.94189', '6.9581', '6.945221818181818', '6.980024285714286']"""
"1561946980,""['775340.0509760763', '772766.54674801', '774572.1488886769', '773127.019499106', '777017.6790735611']"",""['6615949.251745502', '6608811.35636872', '6612535.344221438', '6611788.259361591', '6615976.915607435']"",""['50.96977636363636', '50.92938', '50.95046', '50.94623181818182', '50.96993285714286']"",""['6.964998181818182', '6.94188', '6.9581', '6.945118181818182', '6.980068571428571']"""
"1561946981,""['775340.3545746875', '772766.4354285192', '773115.4827518783', '777022.6089367248']"",""['6615955.519174265', '6608810.826509708', '6611780.067656522', '6615977.168141575']"",""['50.96981181818182', '50.929377', '50.94618545454546', '50.96993428571429']"",""['6.965000909090909', '6.941879', '6.945014545454546', '6.980112857142857']"""
"1561946982,""['775340.6581732988', '772766.3241090283', '773103.9460046507', '777027.5387998885']"",""['6615961.786603026', '6608810.296650696', '6611771.875951451', '6615977.420675714']"",""['50.96984727272727', '50.929374', '50.94613909090909', '50.96993571428571']"",""['6.965003636363637', '6.941878', '6.944910909090909', '6.980157142857143']"""
"1561946983,""['775340.96177191', '772766.2127895376', '773092.409257423', '777032.4686630522']"",""['6615968.054031788', '6608809.766791684', '6611763.684246382', '6615977.6732098535']"",""['50.969882727272726', '50.929371', '50.94609272727273', '50.96993714285714']"",""['6.9650063636363635', '6.941877', '6.944807272727273', '6.980201428571429']"""
"1561946984,""['775341.2653705212', '772766.1014700468', '773080.8725101954', '777037.3985262158']"",""['6615974.32146055', '6608809.236932672', '6611755.492541311', '6615977.925743993']"",""['50.96991818181818', '50.929368000000004', '50.94604636363636', '50.96993857142857']"",""['6.965009090909091', '6.941876', '6.944703636363637', '6.980245714285714']"""
"1561946985,""['775341.5689691325', '772765.990150556', '773069.3357629677', '777042.3283893795']"",""['6615980.588889312', '6608808.707073659', '6611747.300836242', '6615978.178278133']"",""['50.969953636363634', '50.929365000000004', '50.946', '50.96994']"",""['6.965011818181818', '6.941875', '6.9446', '6.98029']"""
"1561946986,""['775341.8725677438', '772765.8788310651', '773056.7870203692', '777065.5464546022']"",""['6615986.856318074', '6608808.177214647', '6611738.30612635', '6615975.905475031']"",""['50.96998909090909', '50.929362', '50.94594909090909', '50.969927142857145']"",""['6.965014545454546', '6.941874', '6.944487272727273', '6.980498571428572']"""
"1561946987,""['775342.176166355', '772765.7675115743', '773044.2382777707', '777088.7645198248']"",""['6615993.123746836', '6608807.647355635', '6611729.311416457', '6615973.632671928']"",""['50.97002454545454', '50.929359', '50.94589818181818', '50.96991428571429']"",""['6.965017272727272', '6.941873', '6.944374545454545', '6.980707142857143']"""
"1561946988,""['775342.4797649663', '772765.6561920836', '773031.6895351722', '777111.9825850474']"",""['6615999.391175598', '6608807.117496623', '6611720.316706564', '6615971.3598688245']"",""['50.97006', '50.929356', '50.94584727272727', '50.96990142857143']"",""['6.96502', '6.941872', '6.944261818181818', '6.980915714285715']"""
"1561946989,""['775342.5809645033', '772765.5448725928', '773019.1407925737', '777135.2006502699']"",""['6616000.676808516', '6608806.587637611', '6611711.321996672', '6615969.087065722']"",""['50.97006727272727', '50.929353', '50.94579636363636', '50.96988857142857']"",""['6.965020909090909', '6.941871', '6.944149090909091', '6.9811242857142854']"""
"1561946990,""['775342.6821640405', '772765.433553102', '773006.5920499752', '777158.4187154925']"",""['6616001.962441433', '6608806.057778599', '6611702.32728678', '6615966.814262619']"",""['50.970074545454544', '50.92935', '50.94574545454545', '50.96987571428571']"",""['6.965021818181818', '6.94187', '6.944036363636364', '6.981332857142857']"""
"1561946991,""['775342.7833635776', '772764.876955648', '772994.0433073766', '777181.6367807151']"",""['6616003.248074351', '6608805.351300447', '6611693.332576888', '6615964.541459517']"",""['50.97008181818182', '50.929346', '50.94569454545454', '50.96986285714286']"",""['6.965022727272727', '6.941865', '6.943923636363636', '6.981541428571428']"""
