tick,merged_mrx,merged_mry,merged_lat,merged_lng
1561946484,['773510.7681437315'],['6614607.491321565'],['50.962185454545455'],['6.948565454545455']
1561946485,['773521.0904965141'],['6614609.740798037'],['50.96219818181818'],['6.948658181818182']
1561946486,['773531.4128492968'],['6614611.9902745085'],['50.962210909090906'],['6.948750909090909']
1561946487,['773541.7352020794'],['6614614.23975098'],['50.96222363636363'],['6.9488436363636366']
1561946488,['773552.0575548621'],['6614616.489227453'],['50.962236363636364'],['6.9489363636363635']
1561946489,['773562.3799076447'],['6614618.738703925'],['50.96224909090909'],['6.949029090909091']
1561946490,['773572.7022604274'],['6614620.988180397'],['50.962261818181815'],['6.949121818181818']
1561946491,['773583.02461321'],['6614623.237656869'],['50.96227454545454'],['6.949214545454545']
1561946492,['773593.3469659927'],['6614625.487133342'],['50.96228727272727'],['6.949307272727273']
1561946493,['773603.6693187753'],['6614627.736609814'],['50.9623'],['6.9494']
1561946494,['773606.3005067395'],['6614614.239852656'],['50.96222363636364'],['6.949423636363636']
1561946495,['773608.9316947038'],['6614600.7430954985'],['50.96214727272727'],['6.949447272727273']
1561946496,['773611.5628826679'],['6614587.24633834'],['50.96207090909091'],['6.949470909090909']
1561946497,['773614.1940706321'],['6614573.749581182'],['50.961994545454544'],['6.949494545454545']
1561946498,['773616.8252585963'],['6614560.252824024'],['50.961918181818184'],['6.949518181818181']
1561946499,['773619.4564465606'],['6614546.756066867'],['50.96184181818182'],['6.949541818181818']
1561946500,['773622.0876345248'],['6614533.259309709'],['50.96176545454546'],['6.949565454545454']
1561946501,['773624.718822489'],['6614519.762552551'],['50.96168909090909'],['6.9495890909090905']
1561946502,['773627.3500104531'],['6614506.265795393'],['50.96161272727273'],['6.949612727272727']
1561946503,['773629.9811984174'],['6614492.769038236'],['50.96153636363636'],['6.949636363636364']
1561946504,['773632.6123863816'],['6614479.272281078'],['50.96146'],['6.94966']
1561946505,['773634.231578975'],['6614467.8644980565'],['50.96139545454545'],['6.949674545454545']
1561946506,['773635.8507715684'],['6614456.456715035'],['50.96133090909091'],['6.94968909090909']
1561946507,['773637.4699641616'],['6614445.048932014'],['50.96126636363636'],['6.949703636363636']
