tick,trip_no,lat,lng,step_to_next,mercato_x,mercato_y
1561946950.0,1,50.92969,6.9426,10.0,772846.6967813811,6608866.108666757
1561946950.0,4,50.96917,6.9771,7.0,776687.219213749,6615842.063490146
1561946952.0,3,50.94773,6.94874,11.0,773530.1984548518,6612052.967881584
1561946955.0,0,50.96805,6.96482,11.0,775320.2158668076,6615644.082371968
1561946957.0,4,50.96936,6.97802,7.0,776789.6331452788,6615875.650046309
1561946960.0,1,50.92962,6.94237,10.0,772821.0932984987,6608853.745212724
1561946963.0,3,50.94696,6.94685,11.0,773319.8046172526,6611916.918138667
1561946964.0,4,50.96951,6.9787,7.0,776865.3303990182,6615902.165845595
1561946966.0,0,50.96943,6.96494,11.0,775333.5742057029,6615888.024075318
1561946970.0,1,50.92943,6.94198,10.0,772777.6786970892,6608820.187359849
1561946971.0,4,50.96954,6.97885,7.0,776882.0283226373,6615907.469015727
1561946974.0,3,50.94651,6.94574,11.0,773196.2399824719,6611837.409592011
1561946977.0,0,50.96967,6.96499,11.0,775339.1401802425,6615930.449459217
1561946978.0,4,50.96993,6.97998,7.0,777007.8193472337,6615976.410539155
1561946980.0,1,50.92938,6.94188,10.0,772766.54674801,6608811.35636872
1561946985.0,3,50.946,6.9446,11.0,773069.3357629677,6611747.300836242
1561946985.0,4,50.96994,6.98029,7.0,777042.3283893795,6615978.178278133
1561946988.0,0,50.97006,6.96502,11.0,775342.4797649663,6615999.391175598
1561946990.0,1,50.92935,6.94187,10.0,772765.433553102,6608806.057778599
1561946992.0,4,50.96993,6.98103,7.0,777124.7048125665,6615976.410539155
1561946996.0,3,50.94544,6.94336,11.0,772931.299594384,6611648.359027426
1561946999.0,0,50.97014,6.96503,11.0,775343.5929598742,6616013.533137692
1561946999.0,4,50.96976,6.98321,7.0,777367.3813024958,6615946.359034694
1561947000.0,1,50.92931,6.94182,10.0,772759.8675785623,6608798.992997085
1561947006.0,4,50.96972,6.98382,7.0,777435.2861918798,6615939.288108452
1561947007.0,3,50.94536,6.94312,11.0,772904.5829165936,6611634.224580609
1561947010.0,0,50.97021,6.96508,11.0,775349.1589344139,6616025.907374503
1561947010.0,1,50.92912,6.9415,10.0,772724.2453415084,6608765.435367861
1561947013.0,4,50.96958,6.98529,7.0,777598.9258433459,6615914.539914566
1561947018.0,3,50.94533,6.94282,11.0,772871.1870693556,6611628.924169319
1561947020.0,1,50.92904,6.94108,10.0,772677.4911553754,6608751.305880778
1561947020.0,4,50.96955,6.98576,7.0,777651.2460040187,6615909.236739863
1561947021.0,0,50.97033,6.96519,11.0,775361.4040784012,6616047.12039528
1561947027.0,4,50.96956,6.98608,7.0,777686.8682410726,6615911.004464385
1561947029.0,3,50.9453,6.9427,11.0,772857.8287304605,6611623.623761455
